SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,MPI_IMPL,EXPERIMENT,EXECUTABLE,ARG1,ARG2,ARG3,ARG4,ARG5,OUTPUT
9402022,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,13,"Results 16:
|T| = (1,4.16334e-17)
T[0] = (1.56966e-06,-8.74814e-07)
Max chis = (2, 4, 8, 16, 32, 64, 106, 111, 112, 113, 113, 113, 114, 114, 113, 113, 113, 113, 113, 113, 114, 113, 114, 113, 113, 113, 113, 113, 113, 113, 112, 111, 106, 64, 32, 16, 8, 4, 2)
Max chi = 114
Time taken: 184202 ms"
9402023,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,14,"Results 16:
|T| = (1,2.77556e-17)
T[0] = (1.24981e-07,8.30146e-07)
Max chis = (2, 4, 8, 16, 32, 64, 112, 118, 121, 121, 121, 122, 121, 121, 121, 121, 122, 120, 121, 121, 121, 121, 121, 122, 121, 121, 121, 121, 121, 122, 120, 119, 112, 64, 32, 16, 8, 4, 2)
Max chi = 122
Time taken: 180524 ms"
9402024,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,15,"Results 16:
|T| = (1,-8.32667e-17)
T[0] = (-3.54811e-07,1.86863e-07)
Max chis = (2, 4, 8, 16, 32, 64, 118, 128, 129, 130, 130, 130, 130, 130, 130, 130, 130, 130, 130, 130, 129, 129, 129, 129, 129, 129, 129, 129, 128, 129, 128, 126, 118, 64, 32, 16, 8, 4, 2)
Max chi = 130
Time taken: 181707 ms"
9402274,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,0,"Results 16:
|T| = (1,1.84889e-31)
T[0] = (9.53674e-07,8.12141e-22)
Max chis = (1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)
Max chi = 1
Time taken: 135173 ms"
9402275,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,1,"Results 16:
|T| = (1,2.77556e-17)
T[0] = (1.39126e-10,1.78008e-10)
Max chis = (2, 4, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 4, 2)
Max chi = 10
Time taken: 194299 ms"
9402276,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,2,"Results 16:
|T| = (1,-8.32667e-17)
T[0] = (-8.43808e-08,-4.71588e-08)
Max chis = (2, 4, 8, 16, 18, 19, 19, 19, 19, 19, 19, 18, 19, 19, 19, 18, 19, 19, 19, 19, 19, 18, 18, 19, 18, 19, 18, 18, 19, 19, 19, 18, 18, 18, 18, 16, 8, 4, 2)
Max chi = 19
Time taken: 198934 ms"
9402277,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,3,"Results 16:
|T| = (1,2.77556e-17)
T[0] = (6.72885e-10,7.40117e-08)
Max chis = (2, 4, 8, 16, 25, 27, 27, 27, 27, 27, 27, 27, 28, 28, 27, 28, 27, 27, 28, 28, 27, 27, 28, 28, 28, 28, 28, 28, 28, 27, 26, 27, 27, 27, 27, 16, 8, 4, 2)
Max chi = 28
Time taken: 200624 ms"
9402278,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,4,"Results 16:
|T| = (1,9.62772e-17)
T[0] = (-2.81249e-08,-6.0857e-08)
Max chis = (2, 4, 8, 16, 32, 35, 36, 36, 36, 36, 36, 35, 36, 35, 36, 35, 36, 36, 36, 36, 36, 35, 35, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 32, 16, 8, 4, 2)
Max chi = 36
Time taken: 198876 ms"
9402279,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,5,"Results 16:
|T| = (1,4.16334e-17)
T[0] = (7.54178e-08,2.4584e-08)
Max chis = (2, 4, 8, 16, 32, 43, 44, 44, 45, 44, 44, 44, 45, 45, 44, 45, 44, 44, 44, 44, 44, 45, 44, 44, 45, 44, 45, 45, 45, 44, 44, 44, 44, 43, 32, 16, 8, 4, 2)
Max chi = 45
Time taken: 197043 ms"
9402280,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,6,"Results 16:
|T| = (1,-2.77556e-17)
T[0] = (-1.34981e-08,-1.43502e-08)
Max chis = (2, 4, 8, 16, 32, 50, 53, 53, 52, 53, 52, 52, 53, 54, 53, 52, 53, 53, 53, 53, 53, 53, 54, 53, 53, 53, 53, 53, 53, 54, 53, 53, 52, 51, 32, 16, 8, 4, 2)
Max chi = 54
Time taken: 190404 ms"
